CountryCode,Year,Value,Unit
ARE,2000,43.553768158,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2001,41.1063766479,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2002,37.3374023438,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2003,44.5170021057,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2004,45.4946937561,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2005,45.0872077942,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2006,40.9445114136,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2007,40.5441055298,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2008,41.4672546387,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2009,30.3417339325,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2010,28.0806064606,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2011,28.9711761475,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2012,29.9885406494,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2013,31.2455997467,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2014,30.9962558746,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2015,31.440568924,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2016,29.8936824799,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2017,27.0339183807,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2018,28.0266628265,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARE,2019,27.9401683807,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2000,7.3268814087,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2001,7.1939673424,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2002,5.3951692581,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2003,6.2352852821,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2004,6.6596341133,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2005,6.8511033058,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2006,7.2120227814,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2007,7.3448457718,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2008,7.5086817741,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2009,7.1626815796,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2010,6.8489146233,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2011,7.0303058624,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2012,7.2003860474,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2013,7.3946509361,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2014,7.3429350853,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2015,7.4882240295,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2016,7.1642003059,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2017,7.0938568115,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2018,6.7652716637,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
ARG,2019,6.4813289642,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2000,21.4783840179,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2001,21.3202438354,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2002,22.2422275543,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2003,22.6710796356,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2004,23.6199073792,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2005,22.9909915924,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2006,23.4096088409,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2007,23.7541370392,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2008,22.5909423828,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2009,23.394613266,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2010,22.8211402893,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2011,23.0815010071,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2012,23.6743736267,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2013,22.1571502686,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2014,21.9342670441,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2015,21.7907619476,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2016,20.9186573029,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2017,20.825088501,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2018,20.0490016937,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUS,2019,19.5711574554,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2000,14.7919616699,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2001,14.9435195923,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2002,14.8564805984,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2003,15.0619926453,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2004,15.3985271454,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2005,15.5808267593,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2006,15.7858972549,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2007,15.1118021011,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2008,14.8859319687,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2009,13.654589653,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2010,14.2386684418,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2011,14.5166254044,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2012,13.7853298187,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2013,13.4634923935,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2014,13.0139780045,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2015,12.9915618896,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2016,12.9598207474,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2017,13.2285413742,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2018,12.8628787994,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
AUT,2019,13.1112251282,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
BEL,2000,21.1573600769,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
BEL,2001,20.6402015686,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
BEL,2002,21.5874176025,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
BEL,2003,21.2690906525,tCO2 equivalent/cap; percentile p0p100; lpfghgi999
