Countries,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,1355,4057,6970,9821,6205,7260,8660,8315,9375,7458,6120,6306,6179,9409,12314,11487,8651,7275,8570,12070,8885,11772,10664,11960,12768,15277,15648,14363,13639,9797,10684,13592,13979,13883,11875,10769,11613,12161,11990,11316,10643,12483,14087,13766,11492,11219,10834,14513,15813,11529,7677,5597,4888,5647,6930,6718,7509,7910,7149,7197,8391,9022,8947,7724,9505,9743,9426,11409,9255,10534,10024,10960,15351,11102,13512
Soviet Union,4075,3740,6030,8694,8748,5799,6436,6760,8068,7976,6457,6293,7737,6866,8933,8521,10167,11426,11113,9792,9489,10977,13278,15525,15192,11409,9678,15242,17600,17002,18294,17163,16366,14809,14345,14416,14851,13523,12346,11626,9951,5529,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Russia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2643,3489,1540,3859,3624,3451,2122,4392,4494,5403,5841,5256,6330,5176,5165,5560,5954,5087,6218,8786,8304,7782,5341,5751,6676,6356,6871,5100,3523,2402,2510,1329,1339
United Kingdom,2215,3294,3079,4513,4401,4777,5755,4917,3993,3460,2268,1391,1043,1260,1418,1492,1390,1878,1805,1602,979,2346,2558,2775,2249,2228,2542,2211,2246,1564,1589,2365,2514,2595,2567,2142,1985,3603,2528,3504,1845,1525,1093,1382,1527,1458,1613,2361,1400,1315,1623,1359,1076,769,1232,991,958,924,931,1071,1146,1001,801,1503,1658,1183,1344,1105,682,886,662,679,1711,1320,756
France,14,67,43,312,296,422,979,616,742,756,910,942,992,1271,1462,1260,1884,1610,1531,1531,1720,2336,2674,2986,2176,2313,2045,2729,3302,2947,3861,3689,3793,3408,2902,3993,2963,1745,1957,2265,1787,1158,1241,967,852,965,1837,3172,3085,1680,963,1306,1368,1343,2117,1644,1478,2145,1872,1845,901,2096,1338,1887,1758,2252,2185,2319,1897,3738,2384,3836,3123,2150,2272
Germany,#N/A,#N/A,#N/A,38,29,24,24,44,25,93,156,12,154,141,437,327,712,759,589,876,1581,1357,1359,224,1189,1422,1658,1929,1606,1429,1598,1904,1519,2222,2938,1340,1364,924,1397,1273,1835,2418,1529,1559,2920,1552,1961,955,1847,1944,1677,865,899,1652,1103,2088,2485,3296,2380,2207,2357,1204,729,729,1822,1815,2509,1841,1085,950,1163,813,1489,2472,2049
China,#N/A,#N/A,#N/A,#N/A,3,#N/A,39,36,490,403,285,35,47,12,75,387,619,426,746,669,905,1308,1246,658,508,661,580,224,611,553,943,707,1557,1763,1931,1292,1862,2600,1425,1056,954,1321,670,1435,1063,981,764,427,347,332,306,510,524,701,408,341,770,505,586,1125,1501,1258,1534,2076,1323,1819,2449,1624,1365,1604,635,1358,2280,2982,1131
Italy,119,106,24,1,11,138,263,283,239,8,105,246,262,241,385,296,243,144,197,325,280,383,284,328,409,520,523,505,661,1312,1163,1704,1674,1112,1232,868,223,623,385,316,200,354,249,342,208,301,288,449,426,519,208,269,477,359,261,832,538,700,433,512,584,969,794,890,688,671,620,704,534,372,809,1650,1711,1364,1379
Czechoslovakia,17,15,16,9,190,1346,1874,2195,1536,943,665,205,177,142,271,328,429,451,507,667,436,421,649,671,886,739,830,845,869,818,791,935,926,1044,1110,1036,1248,1302,1359,1065,626,427,220,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Netherlands,199,63,20,7,72,255,9,8,51,41,32,105,62,44,91,38,139,95,350,113,5,161,133,206,83,148,293,448,235,243,612,801,661,457,364,180,357,506,776,558,416,455,383,458,628,458,484,619,642,355,281,199,233,331,202,496,1147,1219,452,504,366,541,871,384,643,469,487,1070,468,304,462,357,324,250,392
